DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146295,146295,0.500000,Transmission,Mk10,,22:37:10 11-Mar-2015,22:39:30 11-Mar-2015,Surface,,,,,139,141,122,18
146295,146295,0.500000,Transmission,Mk10,,22:39:30 11-Mar-2015,23:16:50 11-Mar-2015,Dive,1,Square,37.5,38.0,2239,2241,,
146295,146295,0.500000,Transmission,Mk10,,23:16:50 11-Mar-2015,23:19:10 11-Mar-2015,Surface,,,,,139,141,140,0
146295,146295,0.500000,Transmission,Mk10,,23:19:10 11-Mar-2015,00:55:20 12-Mar-2015,Dive,1,Square,37.5,38.0,5769,5771,,
146295,146295,0.500000,Transmission,Mk10,,00:55:20 12-Mar-2015,00:58:20 12-Mar-2015,Surface,,,,,179,181,174,6
146295,146295,0.500000,Transmission,Mk10,,00:58:20 12-Mar-2015,02:37:10 12-Mar-2015,Dive,1,Square,36.5,37.0,5929,5931,,
146295,146295,0.500000,Transmission,Mk10,,02:37:10 12-Mar-2015,02:40:20 12-Mar-2015,Surface,,,,,189,191,141,49
146295,146295,0.500000,Transmission,Mk10,,02:40:20 12-Mar-2015,04:17:50 12-Mar-2015,Dive,1,Square,36.5,37.0,5849,5851,,
146295,146295,0.500000,Transmission,Mk10,1,04:18:00 12-Mar-2015,10:49:20 12-Mar-2015,Message,9,,,,23471.000000,23489.000000,,
146295,146295,0.500000,Transmission,Mk10,1,04:18:00 12-Mar-2015,04:20:50 12-Mar-2015,Surface,,,,,169,171,143,27
146295,146295,0.500000,Transmission,Mk10,1,04:20:50 12-Mar-2015,05:54:40 12-Mar-2015,Dive,1,Square,36.5,37.0,5629,5631,,
146295,146295,0.500000,Transmission,Mk10,1,05:54:40 12-Mar-2015,05:57:40 12-Mar-2015,Surface,,,,,179,181,134,46
146295,146295,0.500000,Transmission,Mk10,1,05:57:40 12-Mar-2015,07:35:10 12-Mar-2015,Dive,1,Square,36.5,37.0,5849,5851,,
146295,146295,0.500000,Transmission,Mk10,1,07:35:10 12-Mar-2015,07:39:10 12-Mar-2015,Surface,,,,,239,241,201,39
146295,146295,0.500000,Transmission,Mk10,1,07:39:10 12-Mar-2015,09:11:40 12-Mar-2015,Dive,1,Square,37.5,38.0,5549,5551,,
146295,146295,0.500000,Transmission,Mk10,1,09:11:40 12-Mar-2015,09:14:50 12-Mar-2015,Surface,,,,,189,191,165,25
146295,146295,0.500000,Transmission,Mk10,1,09:14:50 12-Mar-2015,10:46:10 12-Mar-2015,Dive,1,Square,37.5,38.0,5479,5481,,
146295,146295,0.500000,Transmission,Mk10,1,10:46:10 12-Mar-2015,10:49:20 12-Mar-2015,Surface,,,,,189,191,153,37
146295,146295,0.500000,Transmission,Mk10,1,10:49:00 12-Mar-2015,18:37:00 12-Mar-2015,Message,9,,,,28071.000000,28089.000000,,
146295,146295,0.500000,Transmission,Mk10,1,10:49:00 12-Mar-2015,12:17:50 12-Mar-2015,Dive,1,Square,37.5,38.0,5329,5331,,
146295,146295,0.500000,Transmission,Mk10,1,12:17:50 12-Mar-2015,12:21:30 12-Mar-2015,Surface,,,,,219,221,192,28
146295,146295,0.500000,Transmission,Mk10,1,12:21:30 12-Mar-2015,13:52:50 12-Mar-2015,Dive,1,Square,37.5,38.0,5479,5481,,
146295,146295,0.500000,Transmission,Mk10,1,13:52:50 12-Mar-2015,13:56:10 12-Mar-2015,Surface,,,,,199,201,135,65
146295,146295,0.500000,Transmission,Mk10,1,13:56:10 12-Mar-2015,15:26:20 12-Mar-2015,Dive,1,Square,36.5,37.0,5409,5411,,
146295,146295,0.500000,Transmission,Mk10,1,15:26:20 12-Mar-2015,15:29:00 12-Mar-2015,Surface,,,,,159,161,93,67
146295,146295,0.500000,Transmission,Mk10,1,15:29:00 12-Mar-2015,16:59:00 12-Mar-2015,Dive,1,Square,36.5,37.0,5399,5401,,
146295,146295,0.500000,Transmission,Mk10,1,16:59:00 12-Mar-2015,17:02:10 12-Mar-2015,Surface,,,,,189,191,172,18
146295,146295,0.500000,Transmission,Mk10,1,17:02:10 12-Mar-2015,18:37:00 12-Mar-2015,Dive,1,Square,36.5,37.0,5689,5691,,
146295,146295,0.500000,Transmission,Mk10,,18:37:00 12-Mar-2015,00:10:30 13-Mar-2015,Message,9,,,,20001.000000,20019.000000,,
146295,146295,0.500000,Transmission,Mk10,,18:37:00 12-Mar-2015,18:40:50 12-Mar-2015,Surface,,,,,229,231,200,30
146295,146295,0.500000,Transmission,Mk10,,18:40:50 12-Mar-2015,20:15:00 12-Mar-2015,Dive,1,Square,36.5,37.0,5649,5651,,
146295,146295,0.500000,Transmission,Mk10,,20:15:00 12-Mar-2015,20:18:00 12-Mar-2015,Surface,,,,,179,181,145,35
146295,146295,0.500000,Transmission,Mk10,,20:18:00 12-Mar-2015,21:45:40 12-Mar-2015,Dive,1,Square,36.5,37.0,5259,5261,,
146295,146295,0.500000,Transmission,Mk10,,21:45:40 12-Mar-2015,21:48:10 12-Mar-2015,Surface,,,,,149,151,140,10
146295,146295,0.500000,Transmission,Mk10,,21:48:10 12-Mar-2015,23:20:30 12-Mar-2015,Dive,1,Square,37.5,38.0,5539,5541,,
